Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
MARINA ONE RESIDENCES,"3,380,000","1,582.31","2,136",Sep-25,MARINA WAY,Resale,Strata,147.0,"22,993",-,Apartment,1,99 yrs lease commencing from 2011,1,Core Central Region,11 to 15
RIVER PLACE,"1,546,888",796.54,"1,942",Sep-25,HAVELOCK ROAD,Resale,Strata,74.0,"20,904",-,Condominium,1,99 yrs lease commencing from 1995,3,Rest of Central Region,06 to 10
KENT RIDGE HILL RESIDENCES,"1,290,000",645.84,"1,997",Sep-25,SOUTH BUONA VISTA ROAD,Resale,Strata,60.0,"21,500",-,Apartment,1,99 yrs lease commencing from 2018,5,Rest of Central Region,01 to 05
THE SAIL @ MARINA BAY,"2,200,000",882.65,"2,492",Sep-25,MARINA BOULEVARD,Resale,Strata,82.0,"26,829",-,Apartment,1,99 yrs lease commencing from 2002,1,Core Central Region,36 to 40
WEST BAY CONDOMINIUM,"1,065,000",904.18,"1,178",Sep-25,WEST COAST CRESCENT,Resale,Strata,84.0,"12,679",-,Condominium,1,99 yrs lease commencing from 1991,5,Outside Central Region,01 to 05
WEST BAY CONDOMINIUM,"1,675,000","1,280.92","1,308",Sep-25,WEST COAST CRESCENT,Resale,Strata,119.0,"14,076",-,Condominium,1,99 yrs lease commencing from 1991,5,Outside Central Region,01 to 05
HUNDRED TREES,"2,900,000","1,474.67","1,967",Sep-25,WEST COAST DRIVE,Resale,Strata,137.0,"21,168",-,Condominium,1,956 yrs lease commencing from 1928,5,Outside Central Region,06 to 10
STIRLING RESIDENCES,"1,025,000",441.32,"2,323",Sep-25,STIRLING ROAD,Resale,Strata,41.0,"25,000",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,06 to 10
PARC RIVIERA,"1,150,000",645.84,"1,781",Sep-25,WEST COAST VALE,Resale,Strata,60.0,"19,167",-,Condominium,1,99 yrs lease commencing from 2015,5,Outside Central Region,26 to 30
REFLECTIONS AT KEPPEL BAY,"1,950,000","1,173.28","1,662",Sep-25,KEPPEL BAY VIEW,Resale,Strata,109.0,"17,890",-,Condominium,1,99 yrs lease commencing from 2006,4,Rest of Central Region,01 to 05
QUEENS PEAK,"968,000",430.56,"2,248",Sep-25,DUNDEE ROAD,Resale,Strata,40.0,"24,200",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,11 to 15
QUEENS,"1,580,000",914.94,"1,727",Sep-25,STIRLING ROAD,Resale,Strata,85.0,"18,588",-,Condominium,1,99 yrs lease commencing from 1998,3,Rest of Central Region,06 to 10
STIRLING RESIDENCES,"1,915,000",904.18,"2,118",Sep-25,STIRLING ROAD,Resale,Strata,84.0,"22,798",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,36 to 40
ARTRA,"2,625,000","1,044.11","2,514",Sep-25,ALEXANDRA VIEW,Resale,Strata,97.0,"27,062",-,Apartment,1,99 yrs lease commencing from 2016,3,Rest of Central Region,36 to 40
SKYLINE RESIDENCES,"3,000,000","1,291.68","2,323",Sep-25,TELOK BLANGAH ROAD,Resale,Strata,120.0,"25,000",-,Condominium,1,Freehold,4,Rest of Central Region,21 to 25
ALEXIS,"800,000",387.5,"2,064",Sep-25,ALEXANDRA ROAD,Resale,Strata,36.0,"22,222",-,Apartment,1,Freehold,3,Rest of Central Region,06 to 10
WHISTLER GRAND,"960,000",505.91,"1,898",Sep-25,WEST COAST VALE,Resale,Strata,47.0,"20,426",-,Apartment,1,99 yrs lease commencing from 2018,5,Outside Central Region,31 to 35
ALEX RESIDENCES,"1,988,000",882.65,"2,252",Sep-25,ALEXANDRA VIEW,Resale,Strata,82.0,"24,244",-,Apartment,1,99 yrs lease commencing from 2013,3,Rest of Central Region,11 to 15
PRINCIPAL GARDEN,"965,000",495.14,"1,949",Sep-25,PRINCE CHARLES CRESCENT,Resale,Strata,46.0,"20,978",-,Condominium,1,99 yrs lease commencing from 2014,3,Rest of Central Region,21 to 25
ONE SHENTON,"1,116,000",538.2,"2,074",Sep-25,SHENTON WAY,Resale,Strata,50.0,"22,320",-,Apartment,1,99 yrs lease commencing from 2005,1,Core Central Region,11 to 15
PARC RIVIERA,"808,888",462.85,"1,748",Sep-25,WEST COAST VALE,Resale,Strata,43.0,"18,811",-,Condominium,1,99 yrs lease commencing from 2015,5,Outside Central Region,21 to 25
SEAHILL,"823,000",548.96,"1,499",Sep-25,WEST COAST CRESCENT,Resale,Strata,51.0,"16,137",-,Condominium,1,99 yrs lease commencing from 2011,5,Outside Central Region,06 to 10
SEASCAPE,"4,080,000","2,163.56","1,886",Sep-25,COVE WAY,Resale,Strata,201.0,"20,299",-,Condominium,1,99 yrs lease commencing from 2007,4,Core Central Region,06 to 10
THE INTERLACE,"3,218,000","2,023.63","1,590",Sep-25,DEPOT ROAD,Resale,Strata,188.0,"17,117",-,Condominium,1,99 yrs lease commencing from 2009,4,Rest of Central Region,01 to 05
BOTANNIA,"2,640,000","1,560.78","1,691",Sep-25,WEST COAST PARK,Resale,Strata,145.0,"18,207",-,Condominium,1,956 yrs lease commencing from 1928,5,Outside Central Region,01 to 05
ASCENTIA SKY,"2,900,000","1,474.67","1,967",Sep-25,ALEXANDRA VIEW,Resale,Strata,137.0,"21,168",-,Condominium,1,99 yrs lease commencing from 2008,3,Rest of Central Region,26 to 30
WHISTLER GRAND,"910,000",505.91,"1,799",Sep-25,WEST COAST VALE,Resale,Strata,47.0,"19,362",-,Apartment,1,99 yrs lease commencing from 2018,5,Outside Central Region,11 to 15
RIVER PLACE,"1,388,000",796.54,"1,743",Sep-25,HAVELOCK ROAD,Resale,Strata,74.0,"18,757",-,Condominium,1,99 yrs lease commencing from 1995,3,Rest of Central Region,01 to 05
THE CLEMENT CANOPY,"2,850,000","1,345.5","2,118",Sep-25,CLEMENTI AVENUE 1,Resale,Strata,125.0,"22,800",-,Apartment,1,99 yrs lease commencing from 2016,5,Outside Central Region,36 to 40
STIRLING RESIDENCES,"1,480,000",624.31,"2,371",Sep-25,STIRLING ROAD,Resale,Strata,58.0,"25,517",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,31 to 35
PRINCIPAL GARDEN,"1,920,000",807.3,"2,378",Sep-25,PRINCE CHARLES CRESCENT,Resale,Strata,75.0,"25,600",-,Condominium,1,99 yrs lease commencing from 2014,3,Rest of Central Region,16 to 20
QUEENS PEAK,"1,880,000",807.3,"2,329",Sep-25,DUNDEE ROAD,Resale,Strata,75.0,"25,067",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,36 to 40
STIRLING RESIDENCES,"1,828,888",678.13,"2,697",Sep-25,STIRLING ROAD,Resale,Strata,63.0,"29,030",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,21 to 25
V ON SHENTON,"2,020,000","1,097.93","1,840",Sep-25,SHENTON WAY,Resale,Strata,102.0,"19,804",-,Apartment,1,99 yrs lease commencing from 2011,1,Core Central Region,16 to 20
MARINA ONE RESIDENCES,"2,330,000","1,108.69","2,102",Sep-25,MARINA WAY,Resale,Strata,103.0,"22,621",-,Apartment,1,99 yrs lease commencing from 2011,1,Core Central Region,26 to 30
VIVA VISTA,"698,000",419.8,"1,663",Sep-25,SOUTH BUONA VISTA ROAD,Resale,Strata,39.0,"17,897",-,Apartment,1,Freehold,5,Rest of Central Region,01 to 05
WATERFRONT @ FABER,"2,030,000","1,259.39","1,612",Sep-25,FABER WALK,Resale,Strata,117.0,"17,350",-,Apartment,1,99 yrs lease commencing from 2013,5,Outside Central Region,01 to 05
THE CREST,"2,510,000","1,184.04","2,120",Sep-25,PRINCE CHARLES CRESCENT,Resale,Strata,110.0,"22,818",-,Condominium,1,99 yrs lease commencing from 2012,3,Rest of Central Region,21 to 25
STIRLING RESIDENCES,"1,025,000",441.32,"2,323",Sep-25,STIRLING ROAD,Resale,Strata,41.0,"25,000",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,11 to 15
THE ROCHESTER RESIDENCES,"2,200,000","1,302.44","1,689",Sep-25,ROCHESTER DRIVE,Resale,Strata,121.0,"18,182",-,Apartment,1,99 yrs lease commencing from 2005,5,Rest of Central Region,26 to 30
QUEENS PEAK,"948,000",430.56,"2,202",Sep-25,DUNDEE ROAD,Resale,Strata,40.0,"23,700",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,16 to 20
THE ORIENT,"1,310,000",721.19,"1,816",Sep-25,PASIR PANJANG ROAD,Resale,Strata,67.0,"19,552",-,Apartment,1,Freehold,5,Rest of Central Region,01 to 05
PARC CLEMATIS,"925,000",505.91,"1,828",Sep-25,JALAN LEMPENG,Resale,Strata,47.0,"19,681",-,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,01 to 05
EMERALD PARK,"2,000,000","1,560.78","1,281",Sep-25,INDUS ROAD,Resale,Strata,145.0,"13,793",-,Condominium,1,99 yrs lease commencing from 1991,3,Rest of Central Region,11 to 15
THE ARRIS,"2,100,000",947.23,"2,217",Sep-25,YAN KIT ROAD,Resale,Strata,88.0,"23,864",-,Apartment,1,Freehold,2,Rest of Central Region,06 to 10
ROBINSON SUITES,"1,430,000",613.55,"2,331",Sep-25,ROBINSON ROAD,Resale,Strata,57.0,"25,088",-,Apartment,1,Freehold,1,Core Central Region,06 to 10
WHISTLER GRAND,"1,182,888",613.55,"1,928",Sep-25,WEST COAST VALE,Resale,Strata,57.0,"20,752",-,Apartment,1,99 yrs lease commencing from 2018,5,Outside Central Region,21 to 25
STIRLING RESIDENCES,"1,485,000",656.6,"2,262",Sep-25,STIRLING ROAD,Resale,Strata,61.0,"24,344",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,31 to 35
SKYSUITES@ANSON,"1,480,000",667.37,"2,218",Sep-25,ENGGOR STREET,Resale,Strata,62.0,"23,871",-,Apartment,1,99 yrs lease commencing from 2008,2,Core Central Region,26 to 30
PARC RIVIERA,"1,026,000",602.78,"1,702",Sep-25,WEST COAST VALE,Resale,Strata,56.0,"18,321",-,Condominium,1,99 yrs lease commencing from 2015,5,Outside Central Region,16 to 20
TANGLIN VIEW,"2,100,000","1,151.75","1,823",Sep-25,PRINCE CHARLES CRESCENT,Resale,Strata,107.0,"19,626",-,Condominium,1,99 yrs lease commencing from 1997,3,Rest of Central Region,01 to 05
ALEX RESIDENCES,"1,480,000",656.6,"2,254",Sep-25,ALEXANDRA VIEW,Resale,Strata,61.0,"24,262",-,Apartment,1,99 yrs lease commencing from 2013,3,Rest of Central Region,36 to 40
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,"3,022,500","1,657.66","1,823",Sep-25,OCEAN WAY,Resale,Strata,154.0,"19,627",-,Condominium,1,99 yrs lease commencing from 2006,4,Core Central Region,01 to 05
REFLECTIONS AT KEPPEL BAY,"6,400,000","3,993.44","1,603",Sep-25,KEPPEL BAY VIEW,Resale,Strata,371.0,"17,251",-,Condominium,1,99 yrs lease commencing from 2006,4,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"2,701,800","1,054.87","2,561",Sep-25,STIRLING ROAD,Resale,Strata,98.0,"27,569",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,16 to 20
STIRLING RESIDENCES,"1,738,000",678.13,"2,563",Sep-25,STIRLING ROAD,Resale,Strata,63.0,"27,587",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,26 to 30
QUEENS PEAK,"1,965,000",861.12,"2,282",Sep-25,DUNDEE ROAD,Resale,Strata,80.0,"24,563",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,26 to 30
REFLECTIONS AT KEPPEL BAY,"1,880,000","1,054.87","1,782",Sep-25,KEPPEL BAY VIEW,Resale,Strata,98.0,"19,184",-,Condominium,1,99 yrs lease commencing from 2006,4,Rest of Central Region,06 to 10
SKYLINE RESIDENCES,"1,905,000",828.83,"2,298",Sep-25,TELOK BLANGAH ROAD,Resale,Strata,77.0,"24,740",-,Condominium,1,Freehold,4,Rest of Central Region,16 to 20
COMMONWEALTH TOWERS,"968,000",484.38,"1,998",Sep-25,COMMONWEALTH AVENUE,Resale,Strata,45.0,"21,511",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,16 to 20
CARABELLE,"1,620,000",882.65,"1,835",Sep-25,WEST COAST WAY,Resale,Strata,82.0,"19,756",-,Condominium,1,956 yrs lease commencing from 1928,5,Outside Central Region,11 to 15
ARTRA,"2,700,000","1,119.46","2,412",Sep-25,ALEXANDRA VIEW,Resale,Strata,104.0,"25,962",-,Apartment,1,99 yrs lease commencing from 2016,3,Rest of Central Region,26 to 30
PEOPLE'S PARK COMPLEX,"1,400,000","1,119.46","1,251",Sep-25,PARK ROAD,Resale,Strata,104.0,"13,462",-,Apartment,1,99 yrs lease commencing from 1968,1,Rest of Central Region,11 to 15
AVENUE SOUTH RESIDENCE,"988,888",473.62,"2,088",Sep-25,SILAT AVENUE,Resale,Strata,44.0,"22,475",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,01 to 05
QUEENS PEAK,"3,460,000","1,506.96","2,296",Sep-25,DUNDEE ROAD,Resale,Strata,140.0,"24,714",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,36 to 40
CARIBBEAN AT KEPPEL BAY,"2,450,000","1,227.1","1,997",Sep-25,KEPPEL BAY DRIVE,Resale,Strata,114.0,"21,491",-,Condominium,1,99 yrs lease commencing from 1999,4,Rest of Central Region,01 to 05
TWIN VEW,"2,225,000","1,140.98","1,950",Sep-25,WEST COAST VALE,Resale,Strata,106.0,"20,991",-,Apartment,1,99 yrs lease commencing from 2017,5,Outside Central Region,26 to 30
QUEENS PEAK,"1,938,888",850.36,"2,280",Sep-25,DUNDEE ROAD,Resale,Strata,79.0,"24,543",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,31 to 35
PRINCIPAL GARDEN,"955,000",495.14,"1,929",Sep-25,PRINCE CHARLES CRESCENT,Resale,Strata,46.0,"20,761",-,Condominium,1,99 yrs lease commencing from 2014,3,Rest of Central Region,21 to 25
THE INTERLACE,"3,400,000","3,638.23",935,Sep-25,DEPOT ROAD,Resale,Strata,338.0,"10,059",-,Condominium,1,99 yrs lease commencing from 2009,4,Rest of Central Region,06 to 10
ALEX RESIDENCES,"948,000",473.62,"2,002",Sep-25,ALEXANDRA VIEW,Resale,Strata,44.0,"21,545",-,Apartment,1,99 yrs lease commencing from 2013,3,Rest of Central Region,01 to 05
AVENUE SOUTH RESIDENCE,"1,420,000",688.9,"2,061",Sep-25,SILAT AVENUE,Resale,Strata,64.0,"22,188",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,06 to 10
THE PEARL @ MOUNT FABER,"2,050,000","1,388.56","1,476",Sep-25,MOUNT FABER ROAD,Resale,Strata,129.0,"15,891",-,Condominium,1,99 yrs lease commencing from 2002,4,Rest of Central Region,06 to 10
SPOTTISWOODE SUITES,"1,003,888",441.32,"2,275",Sep-25,SPOTTISWOODE PARK ROAD,Resale,Strata,41.0,"24,485",-,Apartment,1,Freehold,2,Rest of Central Region,16 to 20
SKYSUITES@ANSON,"1,400,000",667.37,"2,098",Sep-25,ENGGOR STREET,Resale,Strata,62.0,"22,581",-,Apartment,1,99 yrs lease commencing from 2008,2,Core Central Region,26 to 30
THE INTERLACE,"3,800,000","2,335.79","1,627",Sep-25,DEPOT ROAD,Resale,Strata,217.0,"17,512",-,Condominium,1,99 yrs lease commencing from 2009,4,Rest of Central Region,01 to 05
THE INTERLACE,"3,850,000","3,735.11","1,031",Sep-25,DEPOT ROAD,Resale,Strata,347.0,"11,095",-,Condominium,1,99 yrs lease commencing from 2009,4,Rest of Central Region,01 to 05
THE METROPOLITAN CONDOMINIUM,"2,615,000","1,356.26","1,928",Sep-25,ALEXANDRA VIEW,Resale,Strata,126.0,"20,754",-,Condominium,1,99 yrs lease commencing from 2006,3,Rest of Central Region,11 to 15
WHISTLER GRAND,"850,000",441.32,"1,926",Sep-25,WEST COAST VALE,Resale,Strata,41.0,"20,732",-,Apartment,1,99 yrs lease commencing from 2018,5,Outside Central Region,21 to 25
STIRLING RESIDENCES,"1,861,800",764.24,"2,436",Sep-25,STIRLING ROAD,Resale,Strata,71.0,"26,223",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,16 to 20
QUEENS PEAK,"1,978,888",850.36,"2,327",Sep-25,DUNDEE ROAD,Resale,Strata,79.0,"25,049",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,36 to 40
BANYAN CONDOMINIUM,"2,320,000","1,582.31","1,466",Sep-25,CHWEE CHIAN ROAD,Resale,Strata,147.0,"15,782",-,Condominium,1,Freehold,5,Rest of Central Region,01 to 05
REFLECTIONS AT KEPPEL BAY,"3,000,000","1,937.52","1,548",Sep-25,KEPPEL BAY VIEW,Resale,Strata,180.0,"16,667",-,Condominium,1,99 yrs lease commencing from 2006,4,Rest of Central Region,16 to 20
MOUNT FABER LODGE,"4,150,000","2,594.12","1,600",Sep-25,MOUNT FABER ROAD,Resale,Strata,241.0,"17,220",-,Condominium,1,Freehold,4,Rest of Central Region,01 to 05
AVENUE SOUTH RESIDENCE,"1,730,000",721.19,"2,399",Sep-25,SILAT AVENUE,Resale,Strata,67.0,"25,821",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,26 to 30
THE PEAK@BALMEG,"1,965,000",990.29,"1,984",Sep-25,BALMEG HILL,Resale,Strata,92.0,"21,359",-,Condominium,1,Freehold,5,Rest of Central Region,01 to 05
WHISTLER GRAND,"1,120,000",613.55,"1,825",Sep-25,WEST COAST VALE,Resale,Strata,57.0,"19,649",-,Apartment,1,99 yrs lease commencing from 2018,5,Outside Central Region,01 to 05
TURQUOISE,"3,298,000","2,400.37","1,374",Sep-25,COVE DRIVE,Resale,Strata,223.0,"14,789",-,Condominium,1,99 yrs lease commencing from 2007,4,Core Central Region,01 to 05
TURQUOISE,"3,800,000","2,561.83","1,483",Sep-25,COVE DRIVE,Resale,Strata,238.0,"15,966",-,Condominium,1,99 yrs lease commencing from 2007,4,Core Central Region,01 to 05
V ON SHENTON,"980,000",452.09,"2,168",Sep-25,SHENTON WAY,Resale,Strata,42.0,"23,333",-,Apartment,1,99 yrs lease commencing from 2011,1,Core Central Region,46 to 50
THE CLEMENT CANOPY,"1,460,000",710.42,"2,055",Sep-25,CLEMENTI AVENUE 1,Resale,Strata,66.0,"22,121",-,Apartment,1,99 yrs lease commencing from 2016,5,Outside Central Region,31 to 35
THE TRILINQ,"1,348,000",699.66,"1,927",Sep-25,JALAN LEMPENG,Resale,Strata,65.0,"20,738",-,Condominium,1,99 yrs lease commencing from 2012,5,Outside Central Region,21 to 25
EON SHENTON,"1,350,000",645.84,"2,090",Sep-25,SHENTON WAY,Resale,Strata,60.0,"22,500",-,Apartment,1,99 yrs lease commencing from 2011,2,Core Central Region,26 to 30
V ON SHENTON,"2,850,000","1,517.72","1,878",Sep-25,SHENTON WAY,Resale,Strata,141.0,"20,213",-,Apartment,1,99 yrs lease commencing from 2011,1,Core Central Region,41 to 45
THE ANCHORAGE,"3,080,000","1,506.96","2,044",Sep-25,ALEXANDRA ROAD,Resale,Strata,140.0,"22,000",-,Condominium,1,Freehold,3,Rest of Central Region,06 to 10
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,"4,761,600","2,572.6","1,851",Sep-25,OCEAN WAY,Resale,Strata,239.0,"19,923",-,Condominium,1,99 yrs lease commencing from 2006,4,Core Central Region,06 to 10
THE TRILINQ,"2,330,000","1,345.5","1,732",Sep-25,JALAN LEMPENG,Resale,Strata,125.0,"18,640",-,Condominium,1,99 yrs lease commencing from 2012,5,Outside Central Region,31 to 35
SKY EVERTON,"1,795,000",624.31,"2,875",Sep-25,EVERTON ROAD,Resale,Strata,58.0,"30,948",-,Apartment,1,Freehold,2,Rest of Central Region,16 to 20
TANGLIN VIEW,"1,680,000",871.88,"1,927",Sep-25,PRINCE CHARLES CRESCENT,Resale,Strata,81.0,"20,741",-,Condominium,1,99 yrs lease commencing from 1997,3,Rest of Central Region,06 to 10
CARIBBEAN AT KEPPEL BAY,"5,700,000","4,650.05","1,226",Sep-25,KEPPEL BAY DRIVE,Resale,Strata,432.0,"13,194",-,Condominium,1,99 yrs lease commencing from 1999,4,Rest of Central Region,06 to 10
PARC CLEMATIS,"990,000",505.91,"1,957",Sep-25,JALAN LEMPENG,Resale,Strata,47.0,"21,064",-,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,16 to 20
VILLAGE @ PASIR PANJANG,"1,808,888","1,108.69","1,632",Sep-25,PASIR PANJANG ROAD,Resale,Strata,103.0,"17,562",-,Condominium,1,Freehold,5,Rest of Central Region,01 to 05
SKYSUITES@ANSON,"1,520,000",699.66,"2,172",Sep-25,ENGGOR STREET,Resale,Strata,65.0,"23,385",-,Apartment,1,99 yrs lease commencing from 2008,2,Core Central Region,36 to 40
REGENCY SUITES,"2,240,000",979.52,"2,287",Sep-25,KIM TIAN ROAD,Resale,Strata,91.0,"24,615",-,Apartment,1,Freehold,3,Rest of Central Region,11 to 15
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,"3,799,600","2,066.69","1,838",Sep-25,OCEAN WAY,Resale,Strata,192.0,"19,790",-,Condominium,1,99 yrs lease commencing from 2006,4,Core Central Region,01 to 05
THE BERTH BY THE COVE,"2,200,000","2,023.63","1,087",Sep-25,OCEAN DRIVE,Resale,Strata,188.0,"11,702",-,Condominium,1,99 yrs lease commencing from 2004,4,Core Central Region,01 to 05
ECHELON,"1,610,000",731.95,"2,200",Sep-25,ALEXANDRA VIEW,Resale,Strata,68.0,"23,676",-,Condominium,1,99 yrs lease commencing from 2012,3,Rest of Central Region,11 to 15
CARABELLE,"2,156,000","1,291.68","1,669",Sep-25,WEST COAST WAY,Resale,Strata,120.0,"17,967",-,Condominium,1,956 yrs lease commencing from 1928,5,Outside Central Region,01 to 05
CORALS AT KEPPEL BAY,"2,825,000","1,420.85","1,988",Sep-25,KEPPEL BAY DRIVE,Resale,Strata,132.0,"21,402",-,Condominium,1,99 yrs lease commencing from 2007,4,Rest of Central Region,01 to 05
MARINA BAY RESIDENCES,"1,755,000",731.95,"2,398",Sep-25,MARINA BOULEVARD,Resale,Strata,68.0,"25,809",-,Condominium,1,99 yrs lease commencing from 2005,1,Core Central Region,21 to 25
MARINA ONE RESIDENCES,"4,260,000","2,249.68","1,894",Sep-25,MARINA WAY,Resale,Strata,209.0,"20,383",-,Apartment,1,99 yrs lease commencing from 2011,1,Core Central Region,01 to 05
THE SORRENTO,"1,400,000",807.3,"1,734",Sep-25,WEST COAST ROAD,Resale,Strata,75.0,"18,667",-,Condominium,1,Freehold,5,Outside Central Region,01 to 05
COMMONWEALTH TOWERS,"1,680,000",699.66,"2,401",Sep-25,COMMONWEALTH AVENUE,Resale,Strata,65.0,"25,846",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,36 to 40
THE SAIL @ MARINA BAY,"1,620,000",861.12,"1,881",Sep-25,MARINA BOULEVARD,Resale,Strata,80.0,"20,250",-,Apartment,1,99 yrs lease commencing from 2002,1,Core Central Region,26 to 30
RIVER PLACE,"2,604,000","1,302.44","1,999",Sep-25,HAVELOCK ROAD,Resale,Strata,121.0,"21,521",-,Condominium,1,99 yrs lease commencing from 1995,3,Rest of Central Region,01 to 05
THE CLEMENT CANOPY,"1,388,888",731.95,"1,898",Sep-25,CLEMENTI AVENUE 1,Resale,Strata,68.0,"20,425",-,Apartment,1,99 yrs lease commencing from 2016,5,Outside Central Region,11 to 15
FOOK HAI BUILDING,"1,720,000","1,743.77",986,Sep-25,SOUTH BRIDGE ROAD,Resale,Strata,162.0,"10,617",-,Apartment,1,99 yrs lease commencing from 1972,1,Rest of Central Region,16 to 20
PARC RIVIERA,"818,000",462.85,"1,767",Sep-25,WEST COAST VALE,Resale,Strata,43.0,"19,023",-,Condominium,1,99 yrs lease commencing from 2015,5,Outside Central Region,31 to 35
PARC CLEMATIS,"2,250,000",914.94,"2,459",Sep-25,JALAN LEMPENG,Resale,Strata,85.0,"26,471",-,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,11 to 15
THE INTERLACE,"3,900,000","3,379.9","1,154",Sep-25,DEPOT ROAD,Resale,Strata,314.0,"12,420",-,Condominium,1,99 yrs lease commencing from 2009,4,Rest of Central Region,01 to 05
THE CREST,"1,590,000",796.54,"1,996",Sep-25,PRINCE CHARLES CRESCENT,Resale,Strata,74.0,"21,486",-,Condominium,1,99 yrs lease commencing from 2012,3,Rest of Central Region,16 to 20
THE BERTH BY THE COVE,"1,845,000","1,184.04","1,558",Sep-25,OCEAN DRIVE,Resale,Strata,110.0,"16,773",-,Condominium,1,99 yrs lease commencing from 2004,4,Core Central Region,01 to 05
WHISTLER GRAND,"1,192,000",613.55,"1,943",Sep-25,WEST COAST VALE,Resale,Strata,57.0,"20,912",-,Apartment,1,99 yrs lease commencing from 2018,5,Outside Central Region,21 to 25
THE SORRENTO,"788,000",452.09,"1,743",Sep-25,WEST COAST ROAD,Resale,Strata,42.0,"18,762",-,Condominium,1,Freehold,5,Outside Central Region,01 to 05
AVENUE SOUTH RESIDENCE,"2,178,000",947.23,"2,299",Sep-25,SILAT AVENUE,Resale,Strata,88.0,"24,750",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,16 to 20
ASCENTIA SKY,"4,060,000","1,969.81","2,061",Sep-25,ALEXANDRA VIEW,Resale,Strata,183.0,"22,186",-,Condominium,1,99 yrs lease commencing from 2008,3,Rest of Central Region,41 to 45
CORALS AT KEPPEL BAY,"1,750,000",893.41,"1,959",Sep-25,KEPPEL BAY DRIVE,Resale,Strata,83.0,"21,084",-,Condominium,1,99 yrs lease commencing from 2007,4,Rest of Central Region,01 to 05
VARSITY PARK CONDOMINIUM,"3,180,000","2,228.15","1,427",Sep-25,WEST COAST ROAD,Resale,Strata,207.0,"15,362",-,Condominium,1,99 yrs lease commencing from 2004,5,Outside Central Region,01 to 05
THE CLIFT,"1,670,000",818.06,"2,041",Sep-25,MCCALLUM STREET,Resale,Strata,76.0,"21,974",-,Apartment,1,99 yrs lease commencing from 2004,1,Core Central Region,21 to 25
RIVERWALK APARTMENTS,"1,350,000",818.06,"1,650",Aug-25,UPPER CIRCULAR ROAD,Resale,Strata,76.0,"17,763",-,Apartment,1,99 yrs lease commencing from 1980,1,Rest of Central Region,11 to 15
VIVA VISTA,"1,120,000",742.72,"1,508",Aug-25,SOUTH BUONA VISTA ROAD,Resale,Strata,69.0,"16,232",-,Apartment,1,Freehold,5,Rest of Central Region,01 to 05
QUEENS PEAK,"1,058,000",484.38,"2,184",Aug-25,DUNDEE ROAD,Resale,Strata,45.0,"23,511",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,16 to 20
PARC CLEMATIS,"922,000",452.09,"2,039",Aug-25,JALAN LEMPENG,Resale,Strata,42.0,"21,952",-,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,06 to 10
REFLECTIONS AT KEPPEL BAY,"2,328,000","1,367.03","1,703",Aug-25,KEPPEL BAY VIEW,Resale,Strata,127.0,"18,331",-,Condominium,1,99 yrs lease commencing from 2006,4,Rest of Central Region,26 to 30
VARSITY PARK CONDOMINIUM,"2,460,000","1,614.6","1,524",Aug-25,WEST COAST ROAD,Resale,Strata,150.0,"16,400",-,Condominium,1,99 yrs lease commencing from 2004,5,Outside Central Region,01 to 05
